GenName	ExpressionLevel
GENE.651	0.0
GENE.652	1.70407534992589e-08
GENE.653	0.0
GENE.654	2.04489042299888e-07
GENE.655	0.0
GENE.656	0.0
GENE.657	0.0
GENE.658	2.17354811203989e-05
GENE.659	4.0633676778902e-05
GENE.660	2.22637444795976e-05
GENE.661	0.0002243841220325
GENE.662	4.48597836530014e-05
GENE.663	4.48597836530014e-05
GENE.664	4.26018837984543e-08
GENE.665	6.30507880398923e-07
GENE.666	4.86939531960003e-05
GENE.667	4.77652321289011e-05
GENE.668	1.05652671850143e-06
GENE.669	1.05652671849796e-06
GENE.670	1.09912860229988e-06
GENE.671	1.09912860229988e-06
GENE.672	5.3337558531992e-06
GENE.673	5.33375585310206e-06
GENE.674	5.30819472290001e-06
GENE.675	3.84780214581007e-05
GENE.676	3.84354195741982e-05
GENE.677	3.84524603278015e-05
GENE.678	2.55611302991954e-08
GENE.679	4.77141098700895e-07
GENE.680	6.95007132493e-05
GENE.681	2.10708917328974e-05
GENE.682	2.08919638209001e-05
GENE.683	3.03325412730204e-06
GENE.684	3.03325412739919e-06
GENE.685	3.39110995129996e-06
GENE.686	3.1269782717995e-06
GENE.687	3.49335447250021e-06
GENE.688	3.04177450410198e-06
GENE.689	3.03325412729857e-06
GENE.690	1.87448288800629e-07
GENE.691	3.04177450409851e-06
GENE.692	6.50956784629952e-06
GENE.693	0.0001048773175659
GENE.694	9.38008277751e-05
GENE.695	4.18435702791015e-05
GENE.696	8.52037679993645e-09
GENE.697	0.0
GENE.698	0.0
GENE.699	0.0
GENE.700	5.4530411277981e-06
GENE.701	0.0
GENE.702	0.0
GENE.703	3.39792625277009e-05
GENE.704	0.0
GENE.705	5.69928001622998e-05
GENE.706	5.69501982785013e-05
GENE.707	4.26018838990683e-08
GENE.708	1.53366781701497e-07
GENE.709	8.52037669932248e-09
GENE.710	0.0
GENE.711	3.00258077099991e-05
GENE.712	5.33205177778995e-05
GENE.713	0.0005258435722559
GENE.714	0.000526073622428399
GENE.715	2.31754247930274e-06
GENE.716	8.52037679993645e-09
GENE.717	3.9960567015003e-06
GENE.718	4.19202536700025e-06
GENE.719	0.000179916275710599
GENE.720	0.0002779772918667
GENE.721	0.000185616407764499
GENE.722	9.37241444003145e-08
GENE.723	4.38373384415019e-05
GENE.724	4.38799403253975e-05
GENE.725	0.000128964422672601
GENE.726	1.9971763130601e-05
GENE.727	7.88134850500041e-06
GENE.728	6.81630140976497e-08
GENE.729	2.11560955006018e-05
GENE.730	4.00457707799839e-07
GENE.731	4.36924920366004e-05
GENE.732	8.52037669932248e-09
GENE.733	1.04630226640014e-05
GENE.734	0.000332737753317398
GENE.735	1.36240824428029e-05
